name|zip|password|email|photo|handy|report|createdAt|updatedAt|
Len English|99201|SFY64NIH7QW|aliquet.lobortis.nisi@nuncacmattis.edu|https://randomuser.me/api/portraits/men/75.jpg|15|2|2021-04-07T00:00:00Z|2021-04-08T22:13:55Z|
Victor Graves|80301|ROU92XED2IN|ad.litora@mauris.ca|https://randomuser.me/api/portraits/men/75.jpg|21|5|2021-04-07T00:00:00Z|2021-04-09T06:07:46Z|
Brody Glass|94102|FWC84LCA0QD|enim@morbitristique.net|https://randomuser.me/api/portraits/men/75.jpg|7|2|2021-04-07T00:00:00Z|2021-04-09T21:54:57Z|
Orson Bonner|80014|DEG66TWU4IM|bibendum.Donec@idnunc.co.uk|https://randomuser.me/api/portraits/men/75.jpg|32|1|2021-04-07T00:00:00Z|2021-04-09T01:11:06Z|
Andrew Clark|37130|FUG41HGT8XC|sem.ut@idliberoDonec.edu|https://randomuser.me/api/portraits/men/75.jpg|20|2|2021-04-07T00:00:00Z|2021-04-08T16:38:04Z|
Branden Cannon|99201|NPO40VPE5CM|nunc@atpedeCras.co.uk|https://randomuser.me/api/portraits/men/75.jpg|2|3|2021-04-07T00:00:00Z|2021-04-08T19:07:22Z|
Honorato Small|80301|ZKY64GMI2HP|Nunc.sed@ipsumCurabitur.co.uk|https://randomuser.me/api/portraits/men/75.jpg|37|0|2021-04-07T00:00:00Z|2021-04-09T18:03:16Z|
Joel Collier|94102|MLH53SLW8HL|Duis@ligula.edu|https://randomuser.me/api/portraits/men/75.jpg|43|1|2021-04-07T00:00:00Z|2021-04-09T17:47:00Z|
Alan Patterson|80014|BJK80EXW1DU|tellus.id.nunc@sed.ca|https://randomuser.me/api/portraits/men/75.jpg|39|1|2021-04-07T00:00:00Z|2021-04-09T08:37:32Z|
Chancellor Sparks|37130|QWJ41HUT4HX|est@Morbiaccumsanlaoreet.org|https://randomuser.me/api/portraits/men/75.jpg|7|4|2021-04-07T00:00:00Z|2021-04-09T22:44:53Z|
Valentine Robinson|99201|LOE91NIT8TO|erat.nonummy.ultricies@aliquamiaculislacus.com|https://randomuser.me/api/portraits/men/75.jpg|32|5|2021-04-07T00:00:00Z|2021-04-08T06:07:12Z|
Francis Erickson|80301|SNT61BZM4VG|quis.pede.Praesent@vitae.ca|https://randomuser.me/api/portraits/men/75.jpg|26|2|2021-04-07T00:00:00Z|2021-04-09T12:24:31Z|
